Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Fri Dec 13 08:30:22 2024
| Host         : bwrc-amd1 running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /bwrcq/C/vikramj/dsp-chiplet-to/chipyard/fpga/generated-src/chipyard.fpga.nexysvideo.NexysVideoHarness.BringupNexysVideoConfig/obj/report/utilization.txt
| Design       : NexysVideoHarness
| Device       : xc7a200tsbg484-1
| Speed File   : -1
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                   Instance                                   |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|               ram_ext                                                        |                                                   ram_8x72_374 |        156 |        108 |      48 |    0 |     0 |      0 |      0 |          0 |
|           TLBroadcastTracker_1                                               |                                           TLBroadcastTracker_1 |         80 |         32 |      48 |    0 |    59 |      0 |      0 |          0 |
|             (TLBroadcastTracker_1)                                           |                                           TLBroadcastTracker_1 |         16 |         16 |       0 |    0 |    52 |      0 |      0 |          0 |
|             o_data_q                                                         |                                                   Queue_60_371 |         64 |         16 |      48 |    0 |     7 |      0 |      0 |          0 |
|               (o_data_q)                                                     |                                                   Queue_60_371 |         16 |         16 |       0 |    0 |     7 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                   ram_8x72_372 |         48 |          0 |      48 |    0 |     0 |      0 |      0 |          0 |
|           TLBroadcastTracker_2                                               |                                           TLBroadcastTracker_2 |         80 |         32 |      48 |    0 |    59 |      0 |      0 |          0 |
|             (TLBroadcastTracker_2)                                           |                                           TLBroadcastTracker_2 |         15 |         15 |       0 |    0 |    52 |      0 |      0 |          0 |
|             o_data_q                                                         |                                                   Queue_60_369 |         65 |         17 |      48 |    0 |     7 |      0 |      0 |          0 |
|               (o_data_q)                                                     |                                                   Queue_60_369 |         17 |         17 |       0 |    0 |     7 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                   ram_8x72_370 |         48 |          0 |      48 |    0 |     0 |      0 |      0 |          0 |
|           TLBroadcastTracker_3                                               |                                           TLBroadcastTracker_3 |         83 |         35 |      48 |    0 |    59 |      0 |      0 |          0 |
|             (TLBroadcastTracker_3)                                           |                                           TLBroadcastTracker_3 |         25 |         25 |       0 |    0 |    52 |      0 |      0 |          0 |
|             o_data_q                                                         |                                                       Queue_60 |         58 |         10 |      48 |    0 |     7 |      0 |      0 |          0 |
|               (o_data_q)                                                     |                                                       Queue_60 |         10 |         10 |       0 |    0 |     7 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                       ram_8x72 |         48 |          0 |      48 |    0 |     0 |      0 |      0 |          0 |
|       fbus                                                                   |                                                       FrontBus |       1176 |        884 |     292 |    0 |   358 |      0 |      0 |          0 |
|         buffer                                                               |                                                     TLBuffer_3 |        181 |         39 |     142 |    0 |     6 |      0 |      0 |          0 |
|           nodeIn_d_q                                                         |                                                       Queue_53 |         72 |         14 |      58 |    0 |     3 |      0 |      0 |          0 |
|             (nodeIn_d_q)                                                     |                                                       Queue_53 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                       ram_2x85 |         69 |         11 |      58 |    0 |     0 |      0 |      0 |          0 |
|           nodeOut_a_q                                                        |                                                       Queue_52 |        109 |         25 |      84 |    0 |     3 |      0 |      0 |          0 |
|             (nodeOut_a_q)                                                    |                                                       Queue_52 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                      ram_2x123 |        107 |         23 |      84 |    0 |     0 |      0 |      0 |          0 |
|         coupler_from_port_named_serial_tl_0_in                               |                                        TLInterconnectCoupler_5 |        154 |         16 |     138 |    0 |     6 |      0 |      0 |          0 |
|           buffer                                                             |                                                     TLBuffer_4 |        154 |         16 |     138 |    0 |     6 |      0 |      0 |          0 |
|             nodeIn_d_q                                                       |                                                       Queue_55 |         62 |          6 |      56 |    0 |     3 |      0 |      0 |          0 |
|               (nodeIn_d_q)                                                   |                                                       Queue_55 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                       ram_2x84 |         57 |          1 |      56 |    0 |     0 |      0 |      0 |          0 |
|             nodeOut_a_q                                                      |                                                       Queue_54 |         92 |         10 |      82 |    0 |     3 |      0 |      0 |          0 |
|               (nodeOut_a_q)                                                  |                                                       Queue_54 |          6 |          6 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                      ram_2x122 |         86 |          4 |      82 |    0 |     0 |      0 |      0 |          0 |
|         fbus_xbar                                                            |                                                       TLXbar_3 |         44 |         44 |       0 |    0 |     7 |      0 |      0 |          0 |
|         tsi2tl                                                               |                                                  TSIToTileLink |        700 |        700 |       0 |    0 |   231 |      0 |      0 |          0 |
|         uart_to_serial                                                       |                                                   UARTToSerial |         95 |         83 |      12 |    0 |    80 |      0 |      0 |          0 |
|           (uart_to_serial)                                                   |                                                   UARTToSerial |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           rxm                                                                |                                                         UARTRx |         35 |         35 |       0 |    0 |    36 |      0 |      0 |          0 |
|           rxq                                                                |                                                       Queue_56 |         13 |          7 |       6 |    0 |     7 |      0 |      0 |          0 |
|             (rxq)                                                            |                                                       Queue_56 |          6 |          6 |       0 |    0 |     7 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                    ram_8x8_368 |          8 |          2 |       6 |    0 |     0 |      0 |      0 |          0 |
|           txm                                                                |                                                         UARTTx |         36 |         36 |       0 |    0 |    29 |      0 |      0 |          0 |
|           txq                                                                |                                                   Queue_56_367 |         11 |          5 |       6 |    0 |     7 |      0 |      0 |          0 |
|             (txq)                                                            |                                                   Queue_56_367 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                        ram_8x8 |          6 |          0 |       6 |    0 |     0 |      0 |      0 |          0 |
|         width_adapter                                                        |                                             SerialWidthAdapter |          9 |          9 |       0 |    0 |    28 |      0 |      0 |          0 |
|           aggregator                                                         |                                          SerialWidthAggregator |          5 |          5 |       0 |    0 |    26 |      0 |      0 |          0 |
|           slicer                                                             |                                              SerialWidthSlicer |          4 |          4 |       0 |    0 |     2 |      0 |      0 |          0 |
|       mbus                                                                   |                                                      MemoryBus |        210 |         70 |     140 |    0 |    32 |      0 |      0 |          0 |
|         coupler_to_memory_controller_port_named_tl_mem                       |                                        TLInterconnectCoupler_7 |        210 |         70 |     140 |    0 |    32 |      0 |      0 |          0 |
|           buffer                                                             |                                                   TLBuffer_362 |        162 |         30 |     132 |    0 |     6 |      0 |      0 |          0 |
|             nodeIn_d_q                                                       |                                                    Queue_1_363 |         78 |         26 |      52 |    0 |     3 |      0 |      0 |          0 |
|               (nodeIn_d_q)                                                   |                                                    Queue_1_363 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                   ram_2x79_366 |         75 |         23 |      52 |    0 |     0 |      0 |      0 |          0 |
|             nodeOut_a_q                                                      |                                                      Queue_364 |         84 |          4 |      80 |    0 |     3 |      0 |      0 |          0 |
|               (nodeOut_a_q)                                                  |                                                      Queue_364 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                                        |                                                  ram_2x118_365 |         81 |          1 |      80 |    0 |     0 |      0 |      0 |          0 |
|           shrinker                                                           |                                               TLSourceShrinker |         50 |         42 |       8 |    0 |    26 |      0 |      0 |          0 |
|             (shrinker)                                                       |                                               TLSourceShrinker |         24 |         24 |       0 |    0 |    26 |      0 |      0 |          0 |
|             sourceIdMap_ext                                                  |                                              sourceIdMap_16x11 |         28 |         20 |       8 |    0 |     0 |      0 |      0 |          0 |
|       sbus                                                                   |                                                      SystemBus |         89 |         89 |       0 |    0 |     7 |      0 |      0 |          0 |
|         system_bus_xbar                                                      |                                                         TLXbar |         89 |         89 |       0 |    0 |     7 |      0 |      0 |          0 |
|       serial_tl_domain                                                       |                                                ClockSinkDomain |        809 |        809 |       0 |    0 |  1287 |      0 |      0 |          0 |
|         phy                                                                  |                                             DecoupledSerialPhy |        451 |        451 |       0 |    0 |   704 |      0 |      0 |          0 |
|           in_demux                                                           |                                                      PhitDemux |         16 |         16 |       0 |    0 |     7 |      0 |      0 |          0 |
|           in_phits_in_async                                                  |                                                     AsyncQueue |         23 |         23 |       0 |    0 |    62 |      0 |      0 |          0 |
|             sink                                                             |                                           AsyncQueueSink_5_341 |          8 |          8 |       0 |    0 |    27 |      0 |      0 |          0 |
|               (sink)                                                         |                                           AsyncQueueSink_5_341 |          1 |          1 |       0 |    0 |     8 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                                       |                                        ClockCrossingReg_w1_350 |          4 |          4 |       0 |    0 |     1 |      0 |      0 |          0 |
|               sink_valid_0                                                   |                                             AsyncValidSync_351 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |                  AsyncResetSynchronizerShiftReg_w1_d3_i0_4_360 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                   output_chain                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_361 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_valid_1                                                   |                                             AsyncValidSync_352 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |                  AsyncResetSynchronizerShiftReg_w1_d3_i0_4_358 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                   output_chain                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_359 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               widx_widx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_353 |          3 |          3 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_354 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_355 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_356 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_357 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|             source                                                           |                                  AsyncQueueSource_5__xdcDup__5 |         15 |         15 |       0 |    0 |    35 |      0 |      0 |          0 |
|               (source)                                                       |                                  AsyncQueueSource_5__xdcDup__5 |          6 |          6 |       0 |    0 |    17 |      0 |      0 |          0 |
|               ridx_ridx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_342 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_346 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_347 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_348 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_349 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_extend                                                    |                                             AsyncValidSync_343 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |                  AsyncResetSynchronizerShiftReg_w1_d3_i0_4_344 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                   output_chain                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_345 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_valid                                                     |                                      AsyncValidSync__xdcDup__2 |          9 |          9 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |           AsyncResetSynchronizerShiftReg_w1_d3_i0_4__xdcDup__2 |          9 |          9 |       0 |    0 |     3 |      0 |      0 |          0 |
|                   output_chain                                               |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0__xdcDup__2 |          9 |          9 |       0 |    0 |     3 |      0 |      0 |          0 |
|           in_phits_in_async_1                                                |                                          AsyncQueue__xdcDup__9 |         23 |         23 |       0 |    0 |    51 |      0 |      0 |          0 |
|             sink                                                             |                                           AsyncQueueSink_5_329 |          8 |          8 |       0 |    0 |    21 |      0 |      0 |          0 |
|               (sink)                                                         |                                           AsyncQueueSink_5_329 |          1 |          1 |       0 |    0 |     8 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                                       |                                        ClockCrossingReg_w1_335 |          4 |          4 |       0 |    0 |     1 |      0 |      0 |          0 |
|               widx_widx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_336 |          3 |          3 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_337 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_338 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_339 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_340 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|             source                                                           |                                  AsyncQueueSource_5__xdcDup__4 |         15 |         15 |       0 |    0 |    30 |      0 |      0 |          0 |
|               (source)                                                       |                                  AsyncQueueSource_5__xdcDup__4 |          6 |          6 |       0 |    0 |    17 |      0 |      0 |          0 |
|               ridx_ridx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_330 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_331 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_332 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_333 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_334 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_valid                                                     |                                      AsyncValidSync__xdcDup__3 |          9 |          9 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |           AsyncResetSynchronizerShiftReg_w1_d3_i0_4__xdcDup__3 |          9 |          9 |       0 |    0 |     1 |      0 |      0 |          0 |
|                   output_chain                                               |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0__xdcDup__3 |          9 |          9 |       0 |    0 |     1 |      0 |      0 |          0 |
|           in_phits_in_async_2                                                |                                          AsyncQueue__xdcDup__8 |         22 |         22 |       0 |    0 |    51 |      0 |      0 |          0 |
|             sink                                                             |                                           AsyncQueueSink_5_317 |          8 |          8 |       0 |    0 |    21 |      0 |      0 |          0 |
|               (sink)                                                         |                                           AsyncQueueSink_5_317 |          1 |          1 |       0 |    0 |     8 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                                       |                                        ClockCrossingReg_w1_323 |          4 |          4 |       0 |    0 |     1 |      0 |      0 |          0 |
|               widx_widx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_324 |          3 |          3 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_325 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_326 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_327 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_328 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|             source                                                           |                                  AsyncQueueSource_5__xdcDup__3 |         14 |         14 |       0 |    0 |    30 |      0 |      0 |          0 |
|               (source)                                                       |                                  AsyncQueueSource_5__xdcDup__3 |          6 |          6 |       0 |    0 |    17 |      0 |      0 |          0 |
|               ridx_ridx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_318 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_319 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_320 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_321 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_322 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_valid                                                     |                                      AsyncValidSync__xdcDup__4 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |           AsyncResetSynchronizerShiftReg_w1_d3_i0_4__xdcDup__4 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|                   output_chain                                               |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0__xdcDup__4 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|           in_phits_in_async_3                                                |                                          AsyncQueue__xdcDup__7 |         22 |         22 |       0 |    0 |    51 |      0 |      0 |          0 |
|             sink                                                             |                                           AsyncQueueSink_5_305 |          8 |          8 |       0 |    0 |    21 |      0 |      0 |          0 |
|               (sink)                                                         |                                           AsyncQueueSink_5_305 |          1 |          1 |       0 |    0 |     8 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                                       |                                        ClockCrossingReg_w1_311 |          4 |          4 |       0 |    0 |     1 |      0 |      0 |          0 |
|               widx_widx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_312 |          3 |          3 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_313 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_314 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_315 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_316 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|             source                                                           |                                  AsyncQueueSource_5__xdcDup__2 |         14 |         14 |       0 |    0 |    30 |      0 |      0 |          0 |
|               (source)                                                       |                                  AsyncQueueSource_5__xdcDup__2 |          6 |          6 |       0 |    0 |    17 |      0 |      0 |          0 |
|               ridx_ridx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_306 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_307 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_308 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_309 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_310 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_valid                                                     |                                      AsyncValidSync__xdcDup__5 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |           AsyncResetSynchronizerShiftReg_w1_d3_i0_4__xdcDup__5 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|                   output_chain                                               |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0__xdcDup__5 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|           in_phits_in_async_4                                                |                                          AsyncQueue__xdcDup__6 |         22 |         22 |       0 |    0 |    51 |      0 |      0 |          0 |
|             sink                                                             |                                               AsyncQueueSink_5 |          8 |          8 |       0 |    0 |    21 |      0 |      0 |          0 |
|               (sink)                                                         |                                               AsyncQueueSink_5 |          1 |          1 |       0 |    0 |     8 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                                       |                                            ClockCrossingReg_w1 |          4 |          4 |       0 |    0 |     1 |      0 |      0 |          0 |
|               widx_widx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_300 |          3 |          3 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_301 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_302 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_303 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_304 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|             source                                                           |                                  AsyncQueueSource_5__xdcDup__1 |         14 |         14 |       0 |    0 |    30 |      0 |      0 |          0 |
|               (source)                                                       |                                  AsyncQueueSource_5__xdcDup__1 |          6 |          6 |       0 |    0 |    17 |      0 |      0 |          0 |
|               ridx_ridx_gray                                                 |                    AsyncResetSynchronizerShiftReg_w4_d3_i0_295 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 output_chain                                                 |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_296 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_1                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_297 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_2                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_298 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|                 output_chain_3                                               |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_299 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|               sink_valid                                                     |                                      AsyncValidSync__xdcDup__6 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 io_out_sink_valid_0                                          |           AsyncResetSynchronizerShiftReg_w1_d3_i0_4__xdcDup__6 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
|                   output_chain                                               |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0__xdcDup__6 |          8 |          8 |       0 |    0 |     1 |      0 |      0 |          0 |
